order_id,order_date,region,product,quantity,unit_price,revenue
1,2025-02-02,BE,Plus,2,99.00,198.00
2,2025-03-03,DE,Premium,3,249.00,747.00
3,2025-04-04,FR,Basis,4,49.00,196.00
4,2025-05-05,NL,Plus,5,99.00,495.00
5,2025-06-06,BE,Premium,1,249.00,249.00
6,2025-07-07,DE,Basis,2,49.00,98.00
7,2025-08-08,FR,Plus,3,99.00,297.00
8,2025-09-09,NL,Premium,4,249.00,996.00
9,2025-10-10,BE,Basis,5,49.00,245.00
10,2025-11-11,DE,Plus,1,99.00,99.00
11,2025-12-12,FR,Premium,2,249.00,498.00
12,2025-01-13,NL,Basis,3,49.00,147.00
13,2025-02-14,BE,Plus,4,99.00,396.00
14,2025-03-15,DE,Premium,5,249.00,1245.00
15,2025-04-16,FR,Basis,1,49.00,49.00
16,2025-05-17,NL,Plus,2,99.00,198.00
17,2025-06-18,BE,Premium,3,249.00,747.00
18,2025-07-19,DE,Basis,4,49.00,196.00
19,2025-08-20,FR,Plus,5,99.00,495.00
20,2025-09-21,NL,Premium,1,249.00,249.00
21,2025-10-22,BE,Basis,2,49.00,98.00
22,2025-11-23,DE,Plus,3,99.00,297.00
23,2025-12-24,FR,Premium,4,249.00,996.00
24,2025-01-25,NL,Basis,5,49.00,245.00
25,2025-02-26,BE,Plus,1,99.00,99.00
26,2025-03-27,DE,Premium,2,249.00,498.00
27,2025-04-01,FR,Basis,3,49.00,147.00
28,2025-05-02,NL,Plus,4,99.00,396.00
29,2025-06-03,BE,Premium,5,249.00,1245.00
30,2025-07-04,DE,Basis,1,49.00,49.00
31,2025-08-05,FR,Plus,2,99.00,198.00
32,2025-09-06,NL,Premium,3,249.00,747.00
33,2025-10-07,BE,Basis,4,49.00,196.00
34,2025-11-08,DE,Plus,5,99.00,495.00
35,2025-12-09,FR,Premium,1,249.00,249.00
36,2025-01-10,NL,Basis,2,49.00,98.00
37,2025-02-11,BE,Plus,3,99.00,297.00
38,2025-03-12,DE,Premium,4,249.00,996.00
39,2025-04-13,FR,Basis,5,49.00,245.00
40,2025-05-14,NL,Plus,1,99.00,99.00
41,2025-06-15,BE,Premium,2,249.00,498.00
42,2025-07-16,DE,Basis,3,49.00,147.00
43,2025-08-17,FR,Plus,4,99.00,396.00
44,2025-09-18,NL,Premium,5,249.00,1245.00
45,2025-10-19,BE,Basis,1,49.00,49.00
46,2025-11-20,DE,Plus,2,99.00,198.00
47,2025-12-21,FR,Premium,3,249.00,747.00
48,2025-01-22,NL,Basis,4,49.00,196.00
49,2025-02-23,BE,Plus,5,99.00,495.00
50,2025-03-24,DE,Premium,1,249.00,249.00
51,2025-04-25,FR,Basis,2,49.00,98.00
52,2025-05-26,NL,Plus,3,99.00,297.00
53,2025-06-27,BE,Premium,4,249.00,996.00
54,2025-07-01,DE,Basis,5,49.00,245.00
55,2025-08-02,FR,Plus,1,99.00,99.00
56,2025-09-03,NL,Premium,2,249.00,498.00
57,2025-10-04,BE,Basis,3,49.00,147.00
58,2025-11-05,DE,Plus,4,99.00,396.00
59,2025-12-06,FR,Premium,5,249.00,1245.00
60,2025-01-07,NL,Basis,1,49.00,49.00
